Region and Local Authority,ONS Code,Underweight_number,Underweight_percent,"Lower
CI","Upper 
CI",Healthyweight_number,Healthyweight_percent,"Lower
CI","Upper 
CI",Overweight_number,Overweight_percent,"Lower
CI","Upper 
CI",Obese_number,Obese_percent,"Lower
CI","Upper 
CI",Severely obese_number,Severely obese_percent,"Lower
CI","Upper 
CI",overandobese_number,overandobese_percent,"Lower
CI","Upper 
CI",Total number of children
Ipswich,E07000202,18,1.088270859,0.68948456,1.713728281,1063,64.26844015,61.92838623,66.54236997,229,13.8452237,12.26437248,15.59362663,344,20.7980653,18.91086762,22.8205932,57.00,3.45,2.67,4.44,573.00,34.64,32.39,36.97,1654.00
Mid Suffolk,E07000203,13,1.287128713,0.753729602,2.189675263,718,71.08910891,68.21747263,73.80093136,136,13.46534653,11.49802431,15.70952934,143,14.15841584,12.14397892,16.44446124,20.00,1.98,1.29,3.04,279.00,27.62,24.95,30.46,1010.00
St. Edmundsbury,E07000204,15,1.348920863,0.81914699,2.213672642,769,69.15467626,66.37803718,71.7994294,155,13.93884892,12.0270186,16.09897155,173,15.55755396,13.54616523,17.80608971,30.00,2.70,1.90,3.83,328.00,29.50,26.89,32.24,1112.00
Suffolk Coastal,E07000205,17,1.450511945,0.907578491,2.310666498,804,68.60068259,65.88645805,71.19337075,164,13.99317406,12.12443322,16.09718257,187,15.9556314,13.97082483,18.16288299,27.00,2.30,1.59,3.33,351.00,29.95,27.40,32.63,1172.00
Waveney,E07000206,27,2.35396687,1.622759196,3.403255323,802,69.92153444,67.20464353,72.50543091,134,11.68265039,9.950337518,13.67076656,184,16.0418483,14.03186332,18.27853495,30.00,2.62,1.84,3.71,318.00,27.72,25.21,30.39,1147.00
Thurrock,E06000034,33,1.381909548,0.985679203,1.934307762,1450,60.72026801,58.74578478,62.66031629,367,15.36850921,13.97774072,16.87051873,538,22.52931323,20.89858534,24.24828068,113.00,4.73,3.95,5.66,905.00,37.90,35.97,39.86,2388.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON ,E12000007,1617,1.725646717,1.644223294,1.811028058,56530,60.32826774,60.01461565,60.64107303,13775,14.7005464,14.47526355,14.92872339,21782,23.24553914,22.97618695,23.51708488,5031.00,5.37,5.23,5.52,35557.00,37.95,37.64,38.26,93704.00
Barking and Dagenham,E09000002,52,1.429749794,1.091994349,1.869998367,1951,53.64311246,52.0194643,55.2590729,559,15.36981028,14.23427408,16.57842325,1075,29.55732747,28.09657072,31.06122242,287.00,7.89,7.06,8.81,1634.00,44.93,43.32,46.55,3637.00
Barnet,E09000003,58,1.397253674,1.082467408,1.801913621,2670,64.32185016,62.85191152,65.76530557,621,14.96025054,13.90760938,16.0776854,802,19.32064563,18.14817391,20.54984802,173.00,4.17,3.60,4.82,1423.00,34.28,32.85,35.74,4151.00
Bexley,E09000004,32,1.024327785,0.726521742,1.442432782,1908,61.07554417,59.35316851,62.77071498,474,15.17285531,13.95763596,16.47362059,710,22.72727273,21.29175544,24.22978002,153.00,4.90,4.19,5.71,1184.00,37.90,36.21,39.62,3124.00
Brent,E09000005,80,2.079002079,1.673678829,2.579908982,2163,56.21101871,54.63803573,57.77161314,603,15.67047817,14.55619696,16.85323335,1002,26.03950104,24.67729658,27.44949733,228.00,5.93,5.22,6.72,1605.00,41.71,40.16,43.28,3848.00
Bromley,E09000006,52,1.471836966,1.124188115,1.924901308,2396,67.81771865,66.25860079,69.3381319,480,13.58618738,12.49581951,14.75565529,605,17.12425701,15.91791325,18.40201522,122.00,3.45,2.90,4.11,1085.00,30.71,29.21,32.25,3533.00
Camden,E09000007,21,1.461377871,0.957799424,2.223776074,893,62.14335421,59.60634214,64.61561496,210,14.61377871,12.88172501,16.53452036,313,21.78148921,19.72412535,23.98932105,60.00,4.18,3.26,5.34,523.00,36.40,33.95,38.92,1437.00
Croydon,E09000008,69,1.52250662,1.204863245,1.922262342,2712,59.84112974,58.40614595,61.2594444,646,14.25419241,13.26660353,15.3023284,1105,24.38217123,23.15408921,25.65364534,250.00,5.52,4.89,6.22,1751.00,38.64,37.23,40.06,4532.00
Ealing,E09000009,81,1.948051948,1.570180574,2.414629046,2468,59.35545936,57.85456566,60.83908252,599,14.40596441,13.37147519,15.50616157,1010,24.29052429,23.01117512,25.61733413,201.00,4.83,4.22,5.53,1609.00,38.70,37.23,40.19,4158.00
Enfield,E09000010,76,1.716738197,1.373845435,2.143352376,2466,55.70363677,54.23606586,57.16131779,681,15.3828778,14.35015234,16.47562808,1204,27.19674723,25.90616427,28.5268702,294.00,6.64,5.94,7.41,1885.00,42.58,41.13,44.04,4427.00
Greenwich,E09000011,27,0.798344175,0.549256186,1.159077164,1963,58.04257836,56.37119308,59.69571397,473,13.98580721,12.85768231,15.19565304,919,27.17327025,25.70053323,28.69780412,257.00,7.60,6.75,8.54,1392.00,41.16,39.51,42.83,3382.00
Hackney2,E09000012,33,1.30952381,0.933966761,1.833301309,1473,58.45238095,56.51686267,60.36216904,388,15.3968254,14.0404335,16.85855408,626,24.84126984,23.19337632,26.56574996,194.00,7.70,6.72,8.80,1014.00,40.24,38.34,42.17,2520.00
Hammersmith and Fulham,E09000013,22,1.785714286,1.182179746,2.688984996,769,62.41883117,59.67966747,65.08079009,186,15.0974026,13.2068651,17.20492082,255,20.69805195,18.52852069,23.0497461,56.00,4.55,3.52,5.86,441.00,35.80,33.17,38.51,1232.00
Haringey,E09000014,34,1.25879304,0.902202503,1.75382965,1629,60.31099593,58.45250784,62.14019633,394,14.58718993,13.30631017,15.96865736,644,23.8430211,22.27386156,25.48647776,154.00,5.70,4.89,6.64,1038.00,38.43,36.61,40.28,2701.00
Harrow,E09000015,92,3.213412504,2.627507092,3.924702422,1720,60.07684247,58.27056995,61.85610983,464,16.20677611,14.90233812,17.60177737,587,20.50296891,19.06411629,22.02087134,122.00,4.26,3.58,5.06,1051.00,36.71,34.96,38.49,2863.00
Havering,E09000016,33,1.114488349,0.794678334,1.560977433,1858,62.74907126,60.99219255,64.47291277,441,14.89361702,13.65676714,16.22143954,629,21.24282337,19.80730425,22.75286216,143.00,4.83,4.11,5.66,1070.00,36.14,34.43,37.88,2961.00
Hillingdon,E09000017,75,1.985702939,1.587130826,2.48184325,2241,59.33280381,57.7575391,60.88910366,574,15.19724649,14.08775735,16.37745711,887,23.48424676,22.1597254,24.86264986,195.00,5.16,4.50,5.92,1461.00,38.68,37.14,40.25,3777.00
Hounslow,E09000018,74,2.226233454,1.777095871,2.785665328,1956,58.84476534,57.162536,60.50657496,485,14.59085439,13.43164532,15.83181182,809,24.33814681,22.90949696,25.82604164,177.00,5.32,4.61,6.14,1294.00,38.93,37.29,40.60,3324.00
Islington,E09000019,23,1.348182884,0.900031956,2.014943497,1030,60.37514654,58.03334788,62.67032602,260,15.24032825,13.61305518,17.02378873,393,23.03634232,21.10018906,25.09365276,90.00,5.28,4.31,6.44,653.00,38.28,36.00,40.61,1706.00
Kensington and Chelsea,E09000020,6,0.906344411,0.416028946,1.963134834,422,63.74622356,60.01459607,67.31923807,78,11.78247734,9.544231844,14.46170181,156,23.56495468,20.49025329,26.94468105,36.00,5.44,3.95,7.44,234.00,35.35,31.80,39.06,662.00
Kingston upon Thames,E09000021,35,1.89701897,1.3671497,2.62678166,1304,70.67750678,68.55899771,72.71008982,254,13.76693767,12.26986069,15.41458225,252,13.65853659,12.16688058,15.30121067,47.00,2.55,1.92,3.37,506.00,27.43,25.44,29.51,1845.00
Lambeth,E09000022,31,1.109520401,0.782751677,1.570543168,1743,62.38367931,60.57161351,64.16173933,355,12.70579814,11.5218987,13.99210805,665,23.80100215,22.25855713,25.41539004,178.00,6.37,5.52,7.34,1020.00,36.51,34.74,38.31,2794.00
Lewisham,E09000023,59,1.808152007,1.404400784,2.325240227,1987,60.89488201,59.20865452,62.55548705,460,14.09745633,12.94560589,15.33374193,757,23.19950965,21.78322485,24.67882352,163.00,5.00,4.30,5.80,1217.00,37.30,35.65,38.97,3263.00
Merton,E09000024,41,1.846846847,1.364296096,2.495756899,1388,62.52252252,60.48890631,64.51287598,328,14.77477477,13.35954237,16.31170313,463,20.85585586,19.21687708,22.59552169,100.00,4.50,3.72,5.45,791.00,35.63,33.66,37.65,2220.00
Newham,E09000025,95,2.048738408,1.678935875,2.497924304,2564,55.29437136,53.85953681,56.72044107,692,14.92344188,13.92691127,15.97804176,1286,27.73344835,26.46373439,29.0400246,324.00,6.99,6.29,7.76,1978.00,42.66,41.24,44.09,4637.00
Redbridge,E09000026,109,2.873714738,2.387853308,3.454936316,2172,57.26337991,55.68248254,58.82957981,597,15.73952017,14.61530202,16.93306447,915,24.12338518,22.788465,25.51066676,213.00,5.62,4.93,6.39,1512.00,39.86,38.32,41.43,3793.00
Richmond upon Thames,E09000027,27,1.352705411,0.93131526,1.960986956,1518,76.05210421,74.13096986,77.87315254,238,11.9238477,10.57478071,13.41919425,213,10.67134269,9.391602247,12.10217452,39.00,1.95,1.43,2.66,451.00,22.60,20.81,24.48,1996.00
Southwark,E09000028,34,1.139792156,0.816796013,1.588469208,1764,59.13509889,57.36036125,60.88633874,415,13.91216896,12.71660485,15.20056017,770,25.81293999,24.27437126,27.41372401,205.00,6.87,6.02,7.84,1185.00,39.73,37.98,41.49,2983.00
Sutton,E09000029,41,1.648572577,1.21755551,2.228728015,1575,63.32931242,61.41613919,65.20137183,379,15.23924407,13.88042234,16.7052842,492,19.78287093,18.26435919,21.3945864,104.00,4.18,3.46,5.04,871.00,35.02,33.17,36.92,2487.00
Tower Hamlets,E09000030,78,2.532467532,2.033949763,3.149243373,1724,55.97402597,54.21450504,57.71866354,500,16.23376623,14.97364234,17.57801352,778,25.25974026,23.75671349,26.82440359,150.00,4.87,4.16,5.69,1278.00,41.49,39.77,43.24,3080.00
Waltham Forest,E09000031,65,2.05371248,1.614614933,2.609056732,1897,59.93680885,58.21856953,61.63095617,462,14.5971564,13.4099959,15.87015178,741,23.41232227,21.96985478,24.91925211,172.00,5.43,4.70,6.28,1203.00,38.01,36.33,39.71,3165.00
Wandsworth,E09000032,50,2.159827214,1.642124746,2.836036468,1504,64.96760259,63.0008869,66.88472677,320,13.82289417,12.47676933,15.28888305,441,19.04967603,17.50179995,20.70009848,85.00,3.67,2.98,4.52,761.00,32.87,30.99,34.81,2315.00
Westminster,E09000033,12,1.042571677,0.59738924,1.813457601,702,60.99044309,58.1404295,63.76733957,159,13.81407472,11.94074733,15.92813946,278,24.15291051,21.76884601,26.70893027,59.00,5.13,3.99,6.56,437.00,37.97,35.21,40.81,1151.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH EAST ,E12000008,1283,1.36237178,1.29029312,1.43841824,64323,68.3022915,68.0043738,68.59871613,12735,13.5228407,13.30592061,13.74273655,15833,16.81249602,16.57499939,17.05270005,2974.00,3.16,3.05,3.27,28568.00,30.34,30.04,30.63,94174.00
Bracknell Forest,E06000036,23,1.665459812,1.112317647,2.486755626,966,69.94931209,67.47861881,72.30932923,167,12.09268646,10.47741809,13.9182596,225,16.29254164,14.43877556,18.33331224,36.00,2.61,1.89,3.59,392.00,28.39,26.07,30.82,1381.00
Brighton and Hove,E06000043,34,1.422594142,1.019801814,1.98129329,1744,72.9707113,71.15440202,74.71329719,293,12.25941423,11.0047634,13.63519162,319,13.34728033,12.04248133,14.76971446,58.00,2.43,1.88,3.12,612.00,25.61,23.90,27.39,2390.00
Buckinghamshire,E10000002,99,1.706014131,1.403365792,2.072559291,4001,68.94709633,67.74438578,70.12473834,800,13.78597277,12.92288771,14.6969719,903,15.56091677,14.65109602,16.51630319,163.00,2.81,2.41,3.27,1703.00,29.35,28.19,30.53,5803.00
Aylesbury Vale,E07000004,35,1.600365798,1.152950451,2.217510635,1459,66.7123914,64.70959706,68.65657816,312,14.26611797,12.86299398,15.79455476,381,17.42112483,15.88898564,19.06751273,73.00,3.34,2.66,4.18,693.00,31.69,29.77,33.67,2187.00
Chiltern,E07000005,21,2.095808383,1.374816322,3.182706975,752,75.0499002,72.27831619,77.63014558,119,11.8762475,10.01729227,14.02640335,110,10.97804391,9.189391698,13.06475749,14.00,1.40,0.83,2.33,229.00,22.85,20.36,25.55,1002.00
South Bucks,E07000006,10,1.584786054,0.863060849,2.892437235,429,67.98732171,64.24781879,71.50914019,96,15.21394612,12.62269897,18.22617772,96,15.21394612,12.62269897,18.22617772,16.00,2.54,1.57,4.08,192.00,30.43,26.97,34.13,631.00
Wycombe,E07000007,33,1.664145234,1.187395366,2.32780503,1361,68.63338376,66.55686114,70.63785295,273,13.76701967,12.32041886,15.35372979,316,15.93545134,14.39059926,17.61202763,60.00,3.03,2.36,3.88,589.00,29.70,27.73,31.75,1983.00
East Sussex,E10000011,74,1.40524117,1.120897903,1.760430881,3708,70.41397645,69.16668991,71.63150139,618,11.73566274,10.89415609,12.63295509,866,16.44511964,15.4684658,17.47069323,176.00,3.34,2.89,3.86,1484.00,28.18,26.98,29.41,5266.00
Eastbourne,E07000061,12,1.232032854,0.706159496,2.141076993,661,67.86447639,64.86642012,70.72217115,133,13.6550308,11.64090059,15.95472408,168,17.24845996,15.00565695,19.7485924,32.00,3.29,2.34,4.60,301.00,30.90,28.08,33.88,974.00
Hastings,E07000062,20,1.98019802,1.285477447,3.038813934,661,65.44554455,62.45921774,68.31482462,134,13.26732673,11.31379867,15.49921597,195,19.30693069,16.99082848,21.85562581,51.00,5.05,3.86,6.58,329.00,32.57,29.75,35.53,1010.00
Lewes,E07000063,14,1.407035176,0.839966297,2.347872828,747,75.07537688,72.29456334,77.66331492,87,8.743718593,7.143436824,10.66133662,147,14.77386935,12.70461914,17.11407293,33.00,3.32,2.37,4.62,234.00,23.52,20.99,26.25,995.00
Rother,E07000064,6,0.742574257,0.340759908,1.610539653,573,70.91584158,67.69129544,73.94244922,95,11.75742574,9.715320987,14.16144174,134,16.58415842,14.1789053,19.30564466,26.00,3.22,2.21,4.67,229.00,28.34,25.34,31.55,808.00
Wealden,E07000065,22,1.487491548,0.984349523,2.24198722,1066,72.07572684,69.73439924,74.3026754,169,11.42663962,9.904246263,13.14888978,222,15.01014199,13.28060047,16.92097341,34.00,2.30,1.65,3.20,391.00,26.44,24.25,28.74,1479.00
Hampshire,E10000014,162,1.160541586,0.995824344,1.352132265,9556,68.4576259,67.68177089,69.22332479,1998,14.31334623,13.74219878,14.90412991,2243,16.06848628,15.4686183,16.68702475,377.00,2.70,2.44,2.98,4241.00,30.38,29.62,31.15,13959.00
Basingstoke and Deane,E07000084,26,1.378579003,0.942502915,2.012319489,1309,69.40615058,67.28877965,71.4446282,256,13.57370095,12.10175609,15.19373245,295,15.64156946,14.07220036,17.35061853,57.00,3.02,2.34,3.90,551.00,29.22,27.21,31.31,1886.00
East Hampshire,E07000085,17,1.497797357,0.937229322,2.385573736,796,70.13215859,67.40524827,72.72325218,162,14.27312775,12.35848515,16.42879303,160,14.0969163,12.1933197,16.24272434,23.00,2.03,1.35,3.02,322.00,28.37,25.82,31.06,1135.00
Eastleigh,E07000086,18,1.247401247,0.790483525,1.963201654,1016,70.40887041,68.00208777,72.70727927,210,14.55301455,12.82766134,16.4665959,199,13.79071379,12.10757755,15.66612609,33.00,2.29,1.63,3.19,409.00,28.34,26.08,30.72,1443.00
Fareham,E07000087,15,1.3239188,0.803934081,2.1728626,771,68.0494263,65.27724824,70.69962407,182,16.0635481,14.04065309,18.31578993,165,14.5631068,12.62891298,16.7367876,22.00,1.94,1.29,2.92,347.00,30.63,28.01,33.37,1133.00
Gosport,E07000088,16,1.652892562,1.019939533,2.668054892,620,64.04958678,60.97664395,67.01146023,136,14.04958678,12.00230162,16.38107885,196,20.24793388,17.83634528,22.89472821,35.00,3.62,2.61,4.99,332.00,34.30,31.37,37.34,968.00
Hart,E07000089,15,1.413760603,0.858605106,2.319469766,768,72.38454288,69.61720262,74.99037685,139,13.10084826,11.20301941,15.26490748,139,13.10084826,11.20301941,15.26490748,23.00,2.17,1.45,3.23,278.00,26.20,23.65,28.93,1061.00
Havant,E07000090,11,0.863422292,0.482798828,1.539475425,788,61.85243328,59.1532559,64.48034888,194,15.22762951,13.35945137,17.3048737,281,22.05651491,19.8656087,24.41542905,49.00,3.85,2.92,5.05,475.00,37.28,34.67,39.97,1274.00
New Forest,E07000091,12,0.732600733,0.419573481,1.276172395,1133,69.16971917,66.89069448,71.35904009,247,15.07936508,13.42820805,16.89393153,246,15.01831502,13.37017752,16.83014762,35.00,2.14,1.54,2.96,493.00,30.10,27.93,32.36,1638.00
Rushmoor,E07000092,13,1.317122594,0.771329467,2.240399459,639,64.74164134,61.70906329,67.6599137,135,13.67781155,11.67448619,15.9627767,200,20.26342452,17.87322915,22.88419528,38.00,3.85,2.82,5.24,335.00,33.94,31.05,36.95,987.00
Test Valley,E07000093,10,0.809716599,0.440411392,1.484084971,819,66.31578947,63.63285591,68.89753748,195,15.78947368,13.8622663,17.92884434,211,17.08502024,15.08873026,19.28543891,37.00,3.00,2.18,4.10,406.00,32.87,30.31,35.54,1235.00
Winchester,E07000094,9,0.750625521,0.395404312,1.420417604,897,74.81234362,72.27867038,77.18753281,142,11.84320267,10.13497706,13.79514746,151,12.59382819,10.8345208,14.59206028,25.00,2.09,1.42,3.06,293.00,24.44,22.09,26.95,1199.00
Isle of Wight,E06000046,19,1.602023609,1.027970254,2.488587226,778,65.59865093,62.84859739,68.24798252,182,15.34569983,13.40656928,17.50859644,207,17.45362563,15.39941694,19.71798931,32.00,2.70,1.92,3.78,389.00,32.80,30.19,35.52,1186.00
Kent,E10000016,202,1.22061756,1.064278861,1.399596962,11019,66.58408363,65.86164695,67.29882289,2280,13.77726751,13.26055218,14.31079543,3048,18.4180313,17.8348007,19.01592051,647.00,3.91,3.62,4.22,5328.00,32.20,31.49,32.91,16549.00
Ashford,E07000105,18,1.19760479,0.758873086,1.885164785,1020,67.86427146,65.46036995,70.17708858,208,13.83898869,12.18524039,15.67711078,257,17.09913506,15.28016651,19.08585493,55.00,3.66,2.82,4.73,465.00,30.94,28.65,33.32,1503.00
Canterbury,E07000106,23,1.686217009,1.126212356,2.517591427,929,68.1085044,65.58728759,70.52800902,170,12.46334311,10.81516911,14.32235371,242,17.74193548,15.80599326,19.85906541,40.00,2.93,2.16,3.97,412.00,30.21,27.83,32.69,1364.00
Dartford,E07000107,11,0.81300813,0.454572348,1.449958108,838,61.93643755,59.31890511,64.48638164,188,13.89504804,12.15396583,15.8405693,316,23.35550628,21.17845431,25.68342883,64.00,4.73,3.72,6.00,504.00,37.25,34.71,39.86,1353.00
Dover,E07000108,15,1.38760407,0.842686665,2.27679762,708,65.49491212,62.61065957,68.2694287,152,14.06105458,12.11584085,16.26079025,206,19.05642923,16.82633639,21.50566645,55.00,5.09,3.93,6.56,358.00,33.12,30.38,35.98,1081.00
Gravesham,E07000109,20,1.564945227,1.015318534,2.40487501,785,61.42410016,58.72488253,64.05484565,212,16.58841941,14.64976518,18.72733117,261,20.42253521,18.30250382,22.71984377,62.00,4.85,3.80,6.17,473.00,37.01,34.41,39.69,1278.00
Maidstone,E07000110,16,0.879120879,0.541853985,1.423309085,1231,67.63736264,65.45270585,69.74772218,266,14.61538462,13.06695306,16.31287358,307,16.86813187,15.21791137,18.6579201,60.00,3.30,2.57,4.22,573.00,31.48,29.39,33.65,1820.00
Sevenoaks,E07000111,12,0.950118765,0.544335245,1.653371392,890,70.46714173,67.89223497,72.91792295,173,13.69754553,11.9111264,15.70412541,188,14.88519398,13.02873469,16.95461138,49.00,3.88,2.95,5.09,361.00,28.58,26.16,31.14,1263.00
Shepway,E07000112,14,1.278538813,0.763107792,2.134622228,709,64.74885845,61.87205627,67.52253904,142,12.96803653,11.10692693,15.08806749,230,21.00456621,18.6953453,23.5165184,45.00,4.11,3.09,5.45,372.00,33.97,31.23,36.83,1095.00
Swale,E07000113,19,1.152912621,0.73931884,1.793700209,1047,63.5315534,61.17864643,65.82152345,224,13.59223301,12.02206575,15.33173727,358,21.72330097,19.79939317,23.77872717,77.00,4.67,3.75,5.80,582.00,35.32,33.04,37.65,1648.00
Thanet,E07000114,19,1.23939987,0.794877064,1.927684758,995,64.90541422,62.4817362,67.25457768,207,13.50293542,11.88309788,15.30522766,312,20.35225049,18.41207366,22.44064118,70.00,4.57,3.63,5.73,519.00,33.86,31.53,36.26,1533.00
Tonbridge and Malling,E07000115,24,1.713062099,1.153842706,2.536357244,988,70.52105639,68.08004345,72.84984201,182,12.99072091,11.33094977,14.85289158,207,14.7751606,13.01338582,16.72957601,37.00,2.64,1.92,3.62,389.00,27.77,25.48,30.17,1401.00
Tunbridge Wells,E07000116,11,0.909090909,0.508372232,1.620526779,879,72.6446281,70.06415637,75.08177237,156,12.89256198,11.12111229,14.8988804,164,13.55371901,11.73999448,15.59812752,33.00,2.73,1.95,3.81,320.00,26.45,24.04,29.00,1210.00
Medway,E06000035,40,1.203369434,0.884982862,1.634411763,2082,62.63537906,60.977088,64.26449909,483,14.53068592,13.37359673,15.76966237,719,21.63056558,20.26407085,23.06255623,149.00,4.48,3.83,5.24,1202.00,36.16,34.54,37.81,3324.00
Milton Keynes,E06000042,51,1.457142857,1.110039103,1.91068715,2249,64.25714286,62.65460203,65.82842187,489,13.97142857,12.86231345,15.159544,711,20.31428571,19.01424215,21.67942152,141.00,4.03,3.43,4.73,1200.00,34.29,32.73,35.87,3500.00
Oxfordshire,E10000025,97,1.404372376,1.152643312,1.710126149,4823,69.82771102,68.73445059,70.89892859,903,13.07369335,12.29915507,13.88928334,1084,15.69422325,14.85548751,16.57109739,188.00,2.72,2.36,3.13,1987.00,28.77,27.71,29.85,6907.00
Cherwell,E07000177,24,1.420118343,0.956155891,2.10442918,1160,68.63905325,66.38688799,70.80667559,206,12.18934911,10.7147127,13.83548689,300,17.75147929,16.0034748,19.64575646,56.00,3.31,2.56,4.28,506.00,29.94,27.80,32.17,1690.00
Oxford,E07000178,31,2.343159486,1.655586304,3.306683934,885,66.89342404,64.31190375,69.37712496,190,14.36130008,12.57466819,16.35429361,217,16.4021164,14.50457148,18.49420588,41.00,3.10,2.29,4.18,407.00,30.76,28.34,33.30,1323.00
South Oxfordshire,E07000179,18,1.24567474,0.789387475,1.960496481,1074,74.32525952,72.01047937,76.51104766,165,11.41868512,9.880154135,13.16180513,188,13.01038062,11.3734077,14.84350213,17.00,1.18,0.74,1.88,353.00,24.43,22.28,26.71,1445.00
Vale of White Horse,E07000180,12,0.881704629,0.505085787,1.534818455,942,69.21381337,66.71017955,71.60928947,193,14.18074945,12.4280668,16.13506456,214,15.72373255,13.88655244,17.75385943,45.00,3.31,2.48,4.40,407.00,29.90,27.53,32.39,1361.00
West Oxfordshire,E07000181,12,1.102941176,0.632040525,1.91791383,762,70.03676471,67.24812887,72.68440863,149,13.69485294,11.77936397,15.86580891,165,15.16544118,13.15691151,17.4190898,29.00,2.67,1.86,3.80,314.00,28.86,26.25,31.62,1088.00
Portsmouth,E06000044,16,0.743494424,0.458167922,1.204359658,1348,62.6394052,60.57469019,64.65907632,324,15.05576208,13.60715849,16.62889881,464,21.56133829,19.87530158,23.34872377,83.00,3.86,3.12,4.76,788.00,36.62,34.61,38.67,2152.00
Reading,E06000038,34,1.758014478,1.260757839,2.446535061,1243,64.27094105,62.10889272,66.3764097,279,14.42605998,12.93064209,16.06251709,378,19.54498449,17.83876186,21.37195145,87.00,4.50,3.66,5.52,657.00,33.97,31.89,36.11,1934.00
Slough,E06000039,57,2.382943144,1.843822592,3.074760747,1355,56.64715719,54.65212688,58.62087158,354,14.7993311,13.43277604,16.27876669,626,26.17056856,24.44824932,27.96930336,136.00,5.69,4.83,6.69,980.00,40.97,39.02,42.95,2392.00
Southampton,E06000045,38,1.44486692,1.054485926,1.976883276,1642,62.43346008,60.56570188,64.26494986,338,12.85171103,11.62664878,14.18513486,612,23.26996198,21.69473595,24.92315955,151.00,5.74,4.92,6.70,950.00,36.12,34.31,37.98,2630.00
Surrey,E10000030,166,1.477788658,1.270660964,1.718092237,8182,72.83895665,72.00871568,73.65358203,1437,12.79266447,12.18768787,13.42308069,1448,12.89059023,12.28357024,13.52298287,218.00,1.94,1.70,2.21,2885.00,25.68,24.88,26.50,11233.00
Elmbridge,E07000207,16,1.26682502,0.781265408,2.047933034,959,75.93032462,73.49625704,78.20713453,153,12.11401425,10.42846438,14.0293284,135,10.6888361,9.102474528,12.51360513,19.00,1.50,0.97,2.34,288.00,22.80,20.57,25.20,1263.00
Epsom and Ewell,E07000208,26,3.095238095,2.120892957,4.496636703,618,73.57142857,70.48703719,76.44120933,98,11.66666667,9.668180266,14.01416631,98,11.66666667,9.668180266,14.01416631,11.00,1.31,0.73,2.33,196.00,23.33,20.60,26.31,840.00
Guildford,E07000209,9,0.735294118,0.387318498,1.391531586,919,75.08169935,72.58258072,77.42387538,147,12.00980392,10.30649516,13.95082705,149,12.17320261,10.45881124,14.12428592,23.00,1.88,1.26,2.80,296.00,24.18,21.87,26.66,1224.00
Mole Valley,E07000210,15,2.010723861,1.222248672,3.290899864,564,75.60321716,72.39528288,78.54881944,80,10.72386059,8.701293659,13.14885305,87,11.66219839,9.552875268,14.16433278,11.00,1.47,0.83,2.62,167.00,22.39,19.54,25.51,746.00
Reigate and Banstead,E07000211,18,1.181102362,0.74839846,1.859297423,1085,71.19422572,68.86955246,73.4123215,207,13.58267717,11.95388652,15.3945963,214,14.04199475,12.38798604,15.87682222,33.00,2.17,1.55,3.03,421.00,27.62,25.44,29.92,1524.00
Runnymede,E07000212,20,2.649006623,1.721262937,4.056157144,524,69.40397351,66.02560775,72.58588305,104,13.77483444,11.49929876,16.41713311,107,14.17218543,11.86548904,16.84162182,17.00,2.25,1.41,3.58,211.00,27.95,24.86,31.25,755.00
Spelthorne,E07000213,x,x,x,x,x,x,x,x,146,15.12953368,13.0071802,17.52841013,159,16.47668394,14.26989165,18.94931629,23.00,2.38,1.59,3.55,305.00,31.61,28.75,34.61,965.00
Surrey Heath,E07000214,12,1.315789474,0.754265107,2.285721623,649,71.1622807,68.13828732,74.00874548,125,13.70614035,11.62584245,16.09090442,126,13.81578947,11.72760978,16.20751549,20.00,2.19,1.42,3.36,251.00,27.52,24.72,30.51,912.00
Tandridge,E07000215,x,x,x,x,x,x,x,x,96,11.750306,9.719125421,14.13949633,111,13.58629131,11.40650335,16.10690456,19.00,2.33,1.49,3.60,207.00,25.34,22.47,28.43,817.00
Waverley,E07000216,19,1.691896705,1.085777547,2.627385338,890,79.25200356,76.78257436,81.52198968,107,9.528049866,7.946221511,11.38582002,107,9.528049866,7.946221511,11.38582002,13.00,1.16,0.68,1.97,214.00,19.06,16.87,21.46,1123.00
Woking,E07000217,20,1.879699248,1.22006508,2.885549893,715,67.19924812,64.32078553,69.95396536,174,16.35338346,14.25281182,18.69603614,155,14.56766917,12.57536996,16.81489732,29.00,2.73,1.90,3.89,329.00,30.92,28.22,33.76,1064.00
West Berkshire,E06000037,18,1.002785515,0.635246673,1.579593252,1270,70.75208914,68.60513138,72.81041396,236,13.14763231,11.66276215,14.78990029,271,15.09749304,13.51585925,16.8281967,47.00,2.62,1.97,3.46,507.00,28.25,26.21,30.37,1795.00
West Sussex,E10000032,108,1.292948641,1.072095772,1.558580662,5881,70.40584221,69.41775148,71.3751727,1151,13.77948043,13.05693534,14.53532508,1213,14.52172872,13.7824838,15.29359083,204.00,2.44,2.13,2.80,2364.00,28.30,27.35,29.28,8353.00
Adur,E07000223,6,0.907715582,0.416659318,1.966083005,475,71.86081694,68.31402397,75.154986,85,12.85930408,10.52033579,15.62747081,95,14.37216339,11.90348878,17.2525538,18.00,2.72,1.73,4.26,180.00,27.23,23.98,30.75,661.00
